0,Mugby Junction,CD

1,"""Guard! What place is this?""",CD

2,"""Mugby Junction, sir.""",CD

3,"""A windy place!""",CD

4,"""Yes, it mostly is, sir.""",CD

5,"""And looks comfortless indeed!""",CD

6,"""Yes, it generally does, sir.""",CD

7,"""Is it a rainy night still?""",CD

8,"""Pours, sir.""",CD

9,"""Open the door. I'll get out.""",CD

10,"""You'll have, sir,"" said the guard, glistening with drops of wet, and looking",CD

11,at the tearful face of his watch by the light of his lantern as the traveller,CD

12,"descended, ""three minutes here.""",CD

13,"""More, I think.-For I am not going on.""",CD

14,"""Thought you had a through ticket, sir?""",CD

15,"""So I have, but I shall sacrifice the rest of it. I want my luggage.""",CD

16,"""Please to come to the van and point it out, sir. Be good enough to look",CD

17,"very sharp, sir. Not a moment to spare.""",CD

18,"The guard hurried to the luggage van, and the traveller hurried after him.",CD

19,"The guard got into it, and the traveller looked into it.",CD

20,"""Those two large black portmanteaus in the corner where your light shines.",CD

21,"Those are mine.""",CD

22,"""Name upon 'em, sir?""",CD

23,"""Barbox Brothers.""",CD

24,"""Stand clear, sir, if you please. One. Two. Right!""",CD

25,Lamp waved. Signal lights ahead already changing. Shriek from engine.,CD

26,Train gone.,CD

27,"""Mugby Junction!"" said the traveller, pulling up the woollen muffler round",CD

28,"his throat with both hands. ""At past three o'clock of a tempestuous morning!",CD

29,"So!""",CD

30,"He spoke to himself. There was no one else to speak to. Perhaps, though",CD

31,"there had been any one else to speak to, he would have preferred to speak to",CD

32,"himself. Speaking to himself, he spoke to a man within five years of fifty",CD

33,"either way, who had turned grey too soon, like a neglected fire; a man of",CD

34,"pondering habit, brooding carriage of the head, and suppressed internal voice;",CD

35,a man with many indications on him of having been much alone.,CD

36,"He stood unnoticed on the dreary platform, except by the rain and by the",CD

37,"wind. Those two vigilant assailants made a rush at him. ""Very well,"" said he,",CD

38,"yielding. ""It signifies nothing to me, to what quarter I turn my face.""",CD

39,"Thus, at Mugby Junction, at past three o'clock of a tempestuous morning,",CD

40,the traveller went where the weather drove him.,CD

41,"Not but what he could make a stand when he was so minded, for, coming",CD

42,to the end of the roofed shelter (it is of considerable extent at Mugby Junction),CD

43,"and looking out upon the dark night, with a yet darker spirit-wing of storm",CD

44,"beating its wild way through it, he faced about, and held his own as ruggedly",CD

45,"in the difficult direction, as he had held it in the easier one. Thus, with a steady",CD

46,"step, the traveller went up and down, up and down, up and down, seeking",CD

47,"nothing, and finding it.",CD

48,"A place replete with shadowy shapes, this Mugby Junction in the black",CD

49,"hours of the four-and-twenty. Mysterious goods trains, covered with palls and",CD

50,"gliding on like vast weird funerals, conveying themselves guiltily away from",CD

51,"the presence of the few lighted lamps, as if their freight had come to a secret",CD

52,"and unlawful end. Half miles of coal pursuing in a Detective manner,",CD

53,"following when they lead, stopping when they stop, backing when they back.",CD

54,"Red hot embers showering out upon the ground, down this dark avenue, and",CD

55,"down the other, as if torturing fires were being raked clear; concurrently,",CD

56,"shrieks and groans and grinds invading the ear, as if the tortured were at the",CD

57,"height of their suffering. Iron-barred cages full of cattle jangling by midway,",CD

58,"the drooping beasts with horns entangled, eyes frozen with terror, and mouths",CD

59,too: at least they have long icicles (or what seem so) hanging from their lips.,CD

60,"Unknown languages in the air, conspiring in red, green, and white characters.",CD

61,"An earthquake accompanied with thunder and lightning, going up express to",CD

62,London.,CD

63,"Now, all quiet, all rusty, wind and rain in possession, lamps extinguished,",CD

64,"Mugby Junction dead and indistinct, with its robe drawn over its head, like",CD

65,"Caesar. Now, too, as the belated traveller plodded up and down, a shadowy",CD

66,train went by him in the gloom which was no other than the train of a life.,CD

67,"From whatsoever intangible deep cutting or dark tunnel it emerged, here it",CD

68,"came, unsummoned and unannounced, stealing upon him and passing away",CD

69,"into obscurity. Here, mournfully went by, a child who had never had a",CD

70,"childhood or known a parent, inseparable from a youth with a bitter sense of",CD

71,"his namelessness, coupled to a man the enforced business of whose best years",CD

72,"had been distasteful and oppressive, linked to an ungrateful friend, dragging",CD

73,"after him a woman once beloved. Attendant, with many a clank and wrench,",CD

74,"were lumbering cares, dark meditations, huge dim disappointments,",CD

75,"monotonous years, a long jarring line of the discords of a solitary and unhappy",CD

76,existence.,CD

77,"""-Yours, sir?""",CD

78,The traveller recalled his eyes from the waste into which they had been,CD

79,"staring, and fell back a step or so under the abruptness, and perhaps the chance",CD

80,"appropriateness, of the question.",CD

81,"""O! My thoughts were not here for the moment. Yes. Yes. Those two",CD

82,"portmanteaus are mine. Are you a Porter?""",CD

83,"""On Porter's wages, sir. But I am Lamps.""",CD

84,The traveller looked a little confused.,CD

85,"""Who did you say you are?""",CD

86,"""Lamps, sir,"" showing an oily cloth in his hand, as further explanation.",CD

87,"""Surely, surely. Is there any hotel or tavern here?""",CD

88,"""Not exactly here, sir. There is a Refreshment Room here, but-"" Lamps,",CD

89,"with a mighty serious look, gave his head a warning roll that plainly added",CD

90,"-""but it's a blessed circumstance for you that it's not open.""",CD

91,"""You couldn't recommend it, I see, if it was available?""",CD

92,"""Ask your pardon, sir. If it was-?""",CD

93,"""Open?""",CD

94,"""It ain't my place, as a paid servant of the company to give my opinion on",CD

95,"any of the company's toepics,"" he pronounced it more like toothpicks,",CD

96,"""beyond lamp-ile and cottons,"" returned Lamps, in a confidential tone; ""but",CD

97,"speaking as a man, I wouldn't recommend my father (if he was to come to life",CD

98,again) to go and try how he'd be treated at the Refreshment Room. Not,CD

99,"speaking as a man, no, I would not.""",CD

100,"The traveller nodded conviction. ""I suppose I can put up in the town?",CD

101,"There is a town here?"" For the traveller (though a stay-at-home compared with",CD

102,"most travellers) had been, like many others, carried on the steam winds and",CD

103,"the iron tides through that Junction before, without having ever, as one might",CD

104,"say, gone ashore there.",CD

105,"""O yes, there's a town, sir. Anyways there's town enough to put up in.",CD

106,"But,"" following the glance of the other at his luggage, ""this is a very dead time",CD

107,"of the night with us, sir. The deadest time. I might a'most call it our deadest",CD

108,"and buriedest time.""",CD

109,"""No porters about?""",CD

110,"""Well, sir, you see,"" returned Lamps, confidential again, ""they in general",CD

111,"goes off with the gas. That's how it is. And they seem to have overlooked you,",CD

112,through your walking to the furder end of the platform. But in about twelve,CD

113,"minutes or so, she may be up.""",CD

114,"""Who may be up?""",CD

115,"""The three forty-two, sir. She goes off in a sidin' till the Up X passes, and",CD

116,"then she,"" here an air of hopeful vagueness pervaded Lamps, ""doos all as lays",CD

117,"in her power.""",CD

118,"""I doubt if I comprehend the arrangement.""",CD

119,"""I doubt if anybody do, sir. She's a Parliamentary, sir. And, you see, a",CD

120,"Parliamentary, or a Skirmishun-""",CD

121,"""Do you mean an Excursion?""",CD

122,"""That's it, sir.-A Parliamentary, or a Skirmishun, she mostly doos go off",CD

123,"into a sidin'. But when she can get a chance, she's whistled out of it, and she's",CD

124,"whistled up into doin' all as,"" Lamps again wore the air of a highly sanguine",CD

125,"man who hoped for the best, ""all as lays in her power.""",CD

126,He then explained that porters on duty being required to be in attendance,CD

127,"on the Parliamentary matron in question, would doubtless turn up with the gas.",CD

128,"In the meantime, if the gentleman would not very much object to the smell of",CD

129,"lamp-oil, and would accept the warmth of his little room.-The gentleman",CD

130,"being by this time very cold, instantly closed with the proposal.",CD

131,"A greasy little cabin it was, suggestive to the sense of smell, of a cabin in a",CD

132,"Whaler. But there was a bright fire burning in its rusty grate, and on the floor",CD

133,"there stood a wooden stand of newly trimmed and lighted lamps, ready for",CD

134,"carriage service. They made a bright show, and their light, and the warmth,",CD

135,"accounted for the popularity of the room, as borne witness to by many",CD

136,"impressions of velveteen trousers on a form by the fire, and many rounded",CD

137,smears and smudges of stooping velveteen shoulders on the adjacent wall.,CD

138,"Various untidy shelves accommodated a quantity of lamps and oil-cans, and",CD

139,also a fragrant collection of what looked like the pocket-handkerchiefs of the,CD

140,whole lamp family.,CD

141,As Barbox Brothers (so to call the traveller on the warranty of his luggage),CD

142,"took his seat upon the form, and warmed his now ungloved hands at the fire,",CD

143,"he glanced aside at a little deal desk, much blotched with ink, which his elbow",CD

144,"touched. Upon it, were some scraps of coarse paper, and a superannuated steel",CD

145,pen in very reduced and gritty circumstances.,CD

146,"From glancing at the scraps of paper, he turned involuntarily to his host,",CD

147,"and said, with some roughness-",CD

148,"""Why, you are never a poet, man!""",CD

149,"Lamps had certainly not the conventional appearance of one, as he stood",CD

150,"modestly rubbing his squab nose with a handkerchief so exceedingly oily, that",CD

151,he might have been in the act of mistaking himself for one of his charges. He,CD

152,"was a spare man of about the Barbox Brothers' time of life, with his features",CD

153,whimsically drawn upward as if they were attracted by the roots of his hair. He,CD

154,"had a peculiarly shining transparent complexion, probably occasioned by",CD

155,"constant oleaginous application; and his attractive hair, being cut short, and",CD

156,"being grizzled, and standing straight up on end as if it in its turn were attracted",CD

157,"by some invisible magnet above it, the top of his head was not very unlike a",CD

158,lamp-wick.,CD

159,"""But to be sure it's no business of mine,"" said Barbox Brothers. ""That was",CD

160,"an impertinent observation on my part. Be what you like.""",CD

161,"""Some people, sir,"" remarked Lamps, in a tone of apology, ""are sometimes",CD

162,"what they don't like.""",CD

163,"""Nobody knows that better than I do,"" sighed the other. ""I have been what",CD

164,"I don't like, all my life.""",CD

165,"""When I first took, sir,"" resumed Lamps, ""to composing little ComicSongs-like-""",CD

166,Barbox Brothers eyed him with great disfavour.,CD

167,"""-To composing little Comic-Songs-like-and what was more hard-to",CD

168,"singing 'em afterwards,"" said Lamps, ""it went against the grain at that time, it",CD

169,"did indeed.""",CD

170,"Something that was not all oil here shining in Lamps's eye, Barbox",CD

171,"Brothers withdrew his own a little disconcerted, looked at the fire, and put a",CD

